SiteName,County,AQI,Status,Latitude,Longitude,Distance_to_Taipei_Main_km,Distance_Calculation_Method,PublishTime,PM2.5,PM10,O3
花蓮,花蓮縣,60,普通,23.8228,121.609,136.00693950494184,geodesic,2026-03-03 15:15,20,27,35
烏日,臺中市,64,普通,24.108,120.617,138.3721841687819,geodesic,2026-03-03 15:15,21,34,29
彰化,彰化縣,55,普通,24.0815,120.545,145.43527352990878,geodesic,2026-03-03 15:15,17,25,31
和美,彰化縣,69,普通,24.111,120.508,145.64472663079152,geodesic,2026-03-03 15:15,30,48,37
員林,彰化縣,65,普通,24.054,120.572,145.88885259812537,geodesic,2026-03-03 15:15,25,34,44
南投,南投縣,82,普通,23.9096,120.687,151.56946706968796,geodesic,2026-03-03 15:15,30,45,53
集集,南投縣,62,普通,23.823,120.784,154.6919018590726,geodesic,2026-03-03 15:15,21,33,33
鹿港,彰化縣,56,普通,24.056,120.435,155.19327310467156,geodesic,2026-03-03 15:15,23,32,36
竹山,南投縣,61,普通,23.757,120.68,166.2799764688433,geodesic,2026-03-03 15:15,27,39,36
溪州,彰化縣,50,良好,23.852,120.498,167.98307410188625,geodesic,2026-03-03 15:15,17,25,32
二林,彰化縣,27,良好,23.9,120.366,172.56252869998306,geodesic,2026-03-03 15:15,11,17,20
斗六,雲林縣,64,普通,23.708,120.529,179.07878418270727,geodesic,2026-03-03 15:15,30,47,48
虎尾,雲林縣,52,普通,23.708,120.437,184.46484018842443,geodesic,2026-03-03 15:15,19,28,33
雲林,雲林縣,52,普通,23.708,120.43,184.88751340657365,geodesic,2026-03-03 15:15,19,27,25
玉里,花蓮縣,58,普通,23.332,121.351,190.7906143924344,geodesic,2026-03-03 15:15,23,33,27
麥寮,雲林縣,82,普通,23.753,120.252,192.43679935482209,geodesic,2026-03-03 15:15,30,42,54
民雄,嘉義縣,39,良好,23.552,120.431,199.00298759517528,geodesic,2026-03-03 15:15,14,19,20
馬祖,連江縣,20,良好,26.16,119.95,199.8910637656445,geodesic,2026-03-03 15:15,11,18,20
嘉義,嘉義市,64,普通,23.4801,120.4491,204.71688487298258,geodesic,2026-03-03 15:15,20,28,30
北港,雲林縣,62,普通,23.564,120.295,205.9040993640393,geodesic,2026-03-03 15:15,29,43,39
成功,臺東縣,57,普通,23.1,121.379,216.19297585810153,geodesic,2026-03-03 15:15,27,42,27
朴子,嘉義縣,32,良好,23.462,120.247,217.90548010694823,geodesic,2026-03-03 15:15,11,14,27
朴子,嘉義縣,26,良好,23.462,120.247,217.90548010694823,geodesic,2026-03-03 15:15,12,15,20
關山,臺東縣,62,普通,23.048,121.16,224.45209131744787,geodesic,2026-03-03 15:15,25,38,33
新營,臺南市,62,普通,23.31,120.316,227.90152017848038,geodesic,2026-03-03 15:15,27,41,44
布袋,嘉義縣,27,良好,23.379,120.166,230.21198688264766,geodesic,2026-03-03 15:15,10,12,20
官田,臺南市,59,普通,23.194,120.325,238.4120124171467,geodesic,2026-03-03 15:15,26,36,27
麻豆,臺南市,83,普通,23.181,120.248,243.7072049121848,geodesic,2026-03-03 15:15,31,49,54
善化,臺南市,58,普通,23.132,120.3,245.63508392539777,geodesic,2026-03-03 15:15,28,45,41
佳里,臺南市,48,良好,23.158,120.166,250.3525038379018,geodesic,2026-03-03 15:15,16,25,28
台東,臺東縣,78,普通,22.758,121.15,256.34922157799457,geodesic,2026-03-03 15:15,26,36,38
台東,臺東縣,52,普通,22.758,121.15,256.34922157799457,geodesic,2026-03-03 15:15,22,33,26
澎湖,澎湖縣,16,良好,23.564,119.578,256.41330783812765,geodesic,2026-03-03 15:15,7,13,20
安南,臺南市,59,普通,23.058,120.197,258.05630788718537,geodesic,2026-03-03 15:15,18,26,29
關廟,臺南市,75,普通,22.979,120.311,259.9161765469815,geodesic,2026-03-03 15:15,31,45,35
旗山,高雄市,57,普通,22.889,120.482,261.27546563867236,geodesic,2026-03-03 15:15,26,37,39
歸仁,臺南市,71,普通,22.967,120.293,261.9566477874618,geodesic,2026-03-03 15:15,29,46,34
台南,臺南市,94,普通,22.9999,120.2269,262.05134989348727,geodesic,2026-03-03 15:15,40,63,59
左營,高雄市,63,普通,22.69,121.295,262.1184302514939,geodesic,2026-03-03 15:15,25,34,39
綠島,臺東縣,23,良好,22.678,121.492,262.4827503919025,geodesic,2026-03-03 15:15,13,19,20
仁德,臺南市,128,對敏感族群不健康,22.931,120.244,267.85399004307527,geodesic,2026-03-03 15:15,52,77,85
岡山,高雄市,67,普通,22.796,120.296,278.66204735691747,geodesic,2026-03-03 15:15,31,44,42
橋頭,高雄市,69,普通,22.757,120.306,282.09553736802224,geodesic,2026-03-03 15:15,24,38,40
屏東,屏東縣,38,良好,22.6756,120.4884,282.8519653302104,geodesic,2026-03-03 15:15,14,19,20
仁武,高雄市,88,普通,22.727,120.356,282.92829876408285,geodesic,2026-03-03 15:15,31,47,61
楠梓,高雄市,116,對敏感族群不健康,22.728,120.326,284.11799191011613,geodesic,2026-03-03 15:15,48,74,64
鳳山,高雄市,88,普通,22.627,120.357,293.0024446199786,geodesic,2026-03-03 15:15,39,60,54
潮州,屏東縣,42,良好,22.55,120.561,293.2945536607585,geodesic,2026-03-03 15:15,13,22,27
高雄,高雄市,46,良好,22.6273,120.3014,295.3018594537097,geodesic,2026-03-03 15:15,18,29,29
大寮,高雄市,61,普通,22.553,120.433,297.57164027532855,geodesic,2026-03-03 15:15,20,28,43
小港,高雄市,119,對敏感族群不健康,22.566,120.381,298.2493271460191,geodesic,2026-03-03 15:15,42,64,74
林園,高雄市,91,普通,22.501,120.393,304.444282414994,geodesic,2026-03-03 15:15,37,53,56
東港,屏東縣,47,良好,22.466,120.432,306.5880129019393,geodesic,2026-03-03 15:15,22,32,34
枋寮,屏東縣,37,良好,22.368,120.553,312.6522931455208,geodesic,2026-03-03 15:15,11,19,20
小琉球,屏東縣,32,良好,22.339,120.368,322.0793914978299,geodesic,2026-03-03 15:15,17,25,28
枋山,屏東縣,29,良好,22.229,120.658,324.25737271687746,geodesic,2026-03-03 15:15,9,15,20
金門,金門縣,22,良好,24.432,118.322,330.3209422641946,geodesic,2026-03-03 15:15,12,20,22
蘭嶼,臺東縣,17,良好,22.057,121.54,331.2453259876063,geodesic,2026-03-03 15:15,10,18,20
恆春,屏東縣,51,普通,22.0,120.746,346.6067355703226,geodesic,2026-03-03 15:15,15,21,28
