SiteName,County,AQI,Status,Latitude,Longitude,Distance_to_Taipei_Main_km,Distance_Calculation_Method,PublishTime,PM2.5,PM10,O3
大甲,臺中市,41,良好,24.348,120.623,119.1347905497274,geodesic,2026-03-03 15:14,13,17,26
豐原,臺中市,40,良好,24.253,120.717,119.62207273282715,geodesic,2026-03-03 15:14,17,26,20
北屯,臺中市,79,普通,24.242,120.686,122.6548610869835,geodesic,2026-03-03 15:14,26,36,43
太平,臺中市,32,良好,24.125,120.72,130.24675859217228,geodesic,2026-03-03 15:14,11,14,20
台中,臺中市,81,普通,24.1477,120.6736,131.28614081961885,geodesic,2026-03-03 15:14,28,39,53
吉安,花蓮縣,44,良好,23.858,121.568,131.88940167817853,geodesic,2026-03-03 15:14,20,27,34
沙鹿,臺中市,98,普通,24.233,120.565,132.0414214726911,geodesic,2026-03-03 15:14,42,64,54
埔里,南投縣,65,普通,23.965,120.964,132.3855113576861,geodesic,2026-03-03 15:14,26,40,41
南屯,臺中市,57,普通,24.132,120.651,134.10073143922153,geodesic,2026-03-03 15:14,23,37,40
霧峰,臺中市,27,良好,24.067,120.724,135.11647652317995,geodesic,2026-03-03 15:14,9,14,20
大里,臺中市,52,普通,24.099,120.678,135.15756890711867,geodesic,2026-03-03 15:14,16,23,37
花蓮,花蓮縣,57,普通,23.8228,121.609,136.00693950494184,geodesic,2026-03-03 15:14,24,37,30
烏日,臺中市,40,良好,24.108,120.617,138.3721841687819,geodesic,2026-03-03 15:14,21,34,28
彰化,彰化縣,63,普通,24.0815,120.545,145.43527352990878,geodesic,2026-03-03 15:14,29,45,33
和美,彰化縣,113,對敏感族群不健康,24.111,120.508,145.64472663079152,geodesic,2026-03-03 15:14,45,67,62
員林,彰化縣,59,普通,24.054,120.572,145.88885259812537,geodesic,2026-03-03 15:14,20,31,35
南投,南投縣,78,普通,23.9096,120.687,151.56946706968796,geodesic,2026-03-03 15:14,35,50,42
集集,南投縣,29,良好,23.823,120.784,154.6919018590726,geodesic,2026-03-03 15:14,13,16,20
鹿港,彰化縣,39,良好,24.056,120.435,155.19327310467156,geodesic,2026-03-03 15:14,13,17,28
竹山,南投縣,58,普通,23.757,120.68,166.2799764688433,geodesic,2026-03-03 15:14,18,27,27
溪州,彰化縣,65,普通,23.852,120.498,167.98307410188625,geodesic,2026-03-03 15:14,21,29,46
二林,彰化縣,63,普通,23.9,120.366,172.56252869998306,geodesic,2026-03-03 15:14,22,31,43
斗六,雲林縣,46,良好,23.708,120.529,179.07878418270727,geodesic,2026-03-03 15:14,15,22,29
虎尾,雲林縣,95,普通,23.708,120.437,184.46484018842443,geodesic,2026-03-03 15:14,43,64,65
雲林,雲林縣,30,良好,23.708,120.43,184.88751340657365,geodesic,2026-03-03 15:14,17,23,20
玉里,花蓮縣,64,普通,23.332,121.351,190.7906143924344,geodesic,2026-03-03 15:14,27,39,28
麥寮,雲林縣,106,對敏感族群不健康,23.753,120.252,192.43679935482209,geodesic,2026-03-03 15:14,39,58,66
民雄,嘉義縣,63,普通,23.552,120.431,199.00298759517528,geodesic,2026-03-03 15:14,30,43,41
馬祖,連江縣,32,良好,26.16,119.95,199.8910637656445,geodesic,2026-03-03 15:14,16,24,27
嘉義,嘉義市,69,普通,23.4801,120.4491,204.71688487298258,geodesic,2026-03-03 15:14,23,37,39
北港,雲林縣,46,良好,23.564,120.295,205.9040993640393,geodesic,2026-03-03 15:14,17,24,37
成功,臺東縣,58,普通,23.1,121.379,216.19297585810153,geodesic,2026-03-03 15:14,26,42,27
朴子,嘉義縣,56,普通,23.462,120.247,217.90548010694823,geodesic,2026-03-03 15:14,20,30,35
朴子,嘉義縣,25,良好,23.462,120.247,217.90548010694823,geodesic,2026-03-03 15:14,10,16,20
關山,臺東縣,41,良好,23.048,121.16,224.45209131744787,geodesic,2026-03-03 15:14,20,29,22
新營,臺南市,97,普通,23.31,120.316,227.90152017848038,geodesic,2026-03-03 15:14,41,64,51
布袋,嘉義縣,57,普通,23.379,120.166,230.21198688264766,geodesic,2026-03-03 15:14,24,33,38
官田,臺南市,58,普通,23.194,120.325,238.4120124171467,geodesic,2026-03-03 15:14,20,30,43
麻豆,臺南市,50,良好,23.181,120.248,243.7072049121848,geodesic,2026-03-03 15:14,21,30,34
善化,臺南市,78,普通,23.132,120.3,245.63508392539777,geodesic,2026-03-03 15:14,31,47,44
佳里,臺南市,72,普通,23.158,120.166,250.3525038379018,geodesic,2026-03-03 15:14,29,44,37
台東,臺東縣,62,普通,22.758,121.15,256.34922157799457,geodesic,2026-03-03 15:14,28,41,41
台東,臺東縣,77,普通,22.758,121.15,256.34922157799457,geodesic,2026-03-03 15:14,27,41,55
澎湖,澎湖縣,26,良好,23.564,119.578,256.41330783812765,geodesic,2026-03-03 15:14,15,22,25
安南,臺南市,78,普通,23.058,120.197,258.05630788718537,geodesic,2026-03-03 15:14,34,51,47
關廟,臺南市,59,普通,22.979,120.311,259.9161765469815,geodesic,2026-03-03 15:14,26,37,35
旗山,高雄市,45,良好,22.889,120.482,261.27546563867236,geodesic,2026-03-03 15:14,22,34,22
歸仁,臺南市,46,良好,22.967,120.293,261.9566477874618,geodesic,2026-03-03 15:14,20,28,23
台南,臺南市,94,普通,22.9999,120.2269,262.05134989348727,geodesic,2026-03-03 15:14,34,51,58
左營,高雄市,64,普通,22.69,121.295,262.1184302514939,geodesic,2026-03-03 15:14,21,29,46
綠島,臺東縣,41,良好,22.678,121.492,262.4827503919025,geodesic,2026-03-03 15:14,13,18,20
仁德,臺南市,139,對敏感族群不健康,22.931,120.244,267.85399004307527,geodesic,2026-03-03 15:14,52,78,89
岡山,高雄市,45,良好,22.796,120.296,278.66204735691747,geodesic,2026-03-03 15:14,23,34,36
橋頭,高雄市,47,良好,22.757,120.306,282.09553736802224,geodesic,2026-03-03 15:14,22,34,27
屏東,屏東縣,40,良好,22.6756,120.4884,282.8519653302104,geodesic,2026-03-03 15:14,16,22,26
仁武,高雄市,109,對敏感族群不健康,22.727,120.356,282.92829876408285,geodesic,2026-03-03 15:14,45,68,61
楠梓,高雄市,82,普通,22.728,120.326,284.11799191011613,geodesic,2026-03-03 15:14,27,39,42
鳳山,高雄市,67,普通,22.627,120.357,293.0024446199786,geodesic,2026-03-03 15:14,29,44,45
潮州,屏東縣,37,良好,22.55,120.561,293.2945536607585,geodesic,2026-03-03 15:14,18,30,20
高雄,高雄市,83,普通,22.6273,120.3014,295.3018594537097,geodesic,2026-03-03 15:14,35,55,39
大寮,高雄市,46,良好,22.553,120.433,297.57164027532855,geodesic,2026-03-03 15:14,19,30,31
小港,高雄市,70,普通,22.566,120.381,298.2493271460191,geodesic,2026-03-03 15:14,29,44,45
林園,高雄市,63,普通,22.501,120.393,304.444282414994,geodesic,2026-03-03 15:14,24,35,36
東港,屏東縣,59,普通,22.466,120.432,306.5880129019393,geodesic,2026-03-03 15:14,23,33,37
枋寮,屏東縣,28,良好,22.368,120.553,312.6522931455208,geodesic,2026-03-03 15:14,14,23,20
小琉球,屏東縣,42,良好,22.339,120.368,322.0793914978299,geodesic,2026-03-03 15:14,11,18,24
枋山,屏東縣,40,良好,22.229,120.658,324.25737271687746,geodesic,2026-03-03 15:14,12,19,30
金門,金門縣,29,良好,24.432,118.322,330.3209422641946,geodesic,2026-03-03 15:14,13,21,23
蘭嶼,臺東縣,15,良好,22.057,121.54,331.2453259876063,geodesic,2026-03-03 15:14,5,10,20
恆春,屏東縣,41,良好,22.0,120.746,346.6067355703226,geodesic,2026-03-03 15:14,20,27,34
