SiteName,County,AQI,Status,Latitude,Longitude,Area,PublishTime,PM2.5,PM10,O3
楠梓,高雄市,118,對敏感族群不健康,22.728,120.326,工業,2026-03-03 15:13,44,69,74
林園,高雄市,95,普通,22.501,120.393,工業,2026-03-03 15:13,35,49,56
大寮,高雄市,70,普通,22.553,120.433,郊區,2026-03-03 15:13,29,42,49
鳳山,高雄市,87,普通,22.627,120.357,都市,2026-03-03 15:13,38,58,54
仁武,高雄市,77,普通,22.727,120.356,工業,2026-03-03 15:13,35,50,44
小港,高雄市,70,普通,22.566,120.381,工業,2026-03-03 15:13,31,44,41
岡山,高雄市,68,普通,22.796,120.296,郊區,2026-03-03 15:13,24,34,31
橋頭,高雄市,68,普通,22.757,120.306,郊區,2026-03-03 15:13,29,40,39
旗山,高雄市,61,普通,22.889,120.482,郊區,2026-03-03 15:13,24,35,43
基隆,基隆市,54,普通,25.1276,121.7392,都市,2026-03-03 15:13,18,24,33
七堵,基隆市,77,普通,25.095,121.708,工業,2026-03-03 15:13,34,48,52
暖暖,基隆市,37,良好,25.1,121.736,郊區,2026-03-03 15:13,18,24,31
新竹,新竹市,58,普通,24.8138,120.9675,都市,2026-03-03 15:13,20,30,42
竹東,新竹縣,62,普通,24.734,121.086,郊區,2026-03-03 15:13,28,42,32
嘉義,嘉義市,79,普通,23.4801,120.4491,都市,2026-03-03 15:13,26,37,39
朴子,嘉義縣,65,普通,23.462,120.247,郊區,2026-03-03 15:13,30,47,37
宜蘭,宜蘭縣,76,普通,24.77,121.7326,都市,2026-03-03 15:13,32,46,41
羅東,宜蘭縣,75,普通,24.677,121.766,都市,2026-03-03 15:13,26,42,42
冬山,宜蘭縣,61,普通,24.636,121.79,郊區,2026-03-03 15:13,20,27,44
蘇澳,宜蘭縣,99,普通,24.603,121.849,工業,2026-03-03 15:13,39,58,49
竹南,新竹縣,106,對敏感族群不健康,24.684,120.878,工業,2026-03-03 15:13,39,58,62
湖口,新竹縣,61,普通,24.904,121.054,工業,2026-03-03 15:13,24,37,42
新埔,新竹縣,30,良好,24.824,121.071,郊區,2026-03-03 15:13,9,15,24
苗栗,苗栗縣,35,良好,24.566,120.822,都市,2026-03-03 15:13,14,20,20
頭份,苗栗縣,100,普通,24.688,120.918,工業,2026-03-03 15:13,36,57,54
竹南,苗栗縣,63,普通,24.684,120.878,工業,2026-03-03 15:13,21,28,32
三義,苗栗縣,33,良好,24.332,120.747,郊區,2026-03-03 15:13,15,19,20
大湖,苗栗縣,33,良好,24.408,120.864,郊區,2026-03-03 15:13,17,25,20
彰化,彰化縣,57,普通,24.0815,120.545,都市,2026-03-03 15:13,27,39,43
員林,彰化縣,85,普通,24.054,120.572,都市,2026-03-03 15:13,32,47,58
和美,彰化縣,82,普通,24.111,120.508,工業,2026-03-03 15:13,34,49,40
鹿港,彰化縣,26,良好,24.056,120.435,郊區,2026-03-03 15:13,15,23,20
溪州,彰化縣,54,普通,23.852,120.498,郊區,2026-03-03 15:13,24,33,24
二林,彰化縣,46,良好,23.9,120.366,郊區,2026-03-03 15:13,16,27,34
南投,南投縣,51,普通,23.9096,120.687,都市,2026-03-03 15:13,18,28,32
竹山,南投縣,63,普通,23.757,120.68,郊區,2026-03-03 15:13,29,42,41
埔里,南投縣,50,良好,23.965,120.964,郊區,2026-03-03 15:13,24,37,28
集集,南投縣,47,良好,23.823,120.784,郊區,2026-03-03 15:13,22,34,31
雲林,雲林縣,39,良好,23.708,120.43,郊區,2026-03-03 15:13,20,32,28
斗六,雲林縣,66,普通,23.708,120.529,都市,2026-03-03 15:13,26,40,31
虎尾,雲林縣,119,對敏感族群不健康,23.708,120.437,工業,2026-03-03 15:13,48,75,69
北港,雲林縣,47,良好,23.564,120.295,郊區,2026-03-03 15:13,14,20,27
麥寮,雲林縣,102,對敏感族群不健康,23.753,120.252,工業,2026-03-03 15:13,45,69,70
朴子,嘉義縣,28,良好,23.462,120.247,郊區,2026-03-03 15:13,10,17,20
布袋,嘉義縣,61,普通,23.379,120.166,郊區,2026-03-03 15:13,19,31,26
民雄,嘉義縣,58,普通,23.552,120.431,郊區,2026-03-03 15:13,18,30,37
屏東,屏東縣,45,良好,22.6756,120.4884,都市,2026-03-03 15:13,18,29,25
潮州,屏東縣,63,普通,22.55,120.561,郊區,2026-03-03 15:13,22,31,32
恆春,屏東縣,35,良好,22.0,120.746,郊區,2026-03-03 15:13,18,27,30
東港,屏東縣,60,普通,22.466,120.432,郊區,2026-03-03 15:13,23,31,31
枋寮,屏東縣,55,普通,22.368,120.553,郊區,2026-03-03 15:13,24,33,42
枋山,屏東縣,32,良好,22.229,120.658,郊區,2026-03-03 15:13,14,21,20
花蓮,花蓮縣,38,良好,23.8228,121.609,都市,2026-03-03 15:13,18,28,21
吉安,花蓮縣,41,良好,23.858,121.568,郊區,2026-03-03 15:13,21,31,20
玉里,花蓮縣,60,普通,23.332,121.351,郊區,2026-03-03 15:13,21,28,44
台東,臺東縣,58,普通,22.758,121.15,都市,2026-03-03 15:13,23,31,44
台東,臺東縣,48,良好,22.758,121.15,都市,2026-03-03 15:13,21,34,35
成功,臺東縣,27,良好,23.1,121.379,郊區,2026-03-03 15:13,7,13,20
關山,臺東縣,50,良好,23.048,121.16,郊區,2026-03-03 15:13,18,28,33
澎湖,澎湖縣,16,良好,23.564,119.578,離島,2026-03-03 15:13,8,14,20
金門,金門縣,33,良好,24.432,118.322,離島,2026-03-03 15:13,13,18,28
馬祖,連江縣,35,良好,26.16,119.95,離島,2026-03-03 15:13,17,26,20
蘭嶼,臺東縣,42,良好,22.057,121.54,離島,2026-03-03 15:13,21,30,20
綠島,臺東縣,32,良好,22.678,121.492,離島,2026-03-03 15:13,16,21,21
小琉球,屏東縣,28,良好,22.339,120.368,離島,2026-03-03 15:13,11,17,20
