SiteName,County,AQI,Status,Latitude,Longitude,Area,PublishTime,PM2.5,PM10,O3
台中,臺中市,81,普通,24.1477,120.6736,都市,2026-03-03 15:14,28,39,53
西屯,臺中市,37,良好,24.162,121.646,都市,2026-03-03 15:14,17,27,25
南屯,臺中市,57,普通,24.132,120.651,都市,2026-03-03 15:14,23,37,40
北屯,臺中市,79,普通,24.242,120.686,都市,2026-03-03 15:14,26,36,43
沙鹿,臺中市,98,普通,24.233,120.565,工業,2026-03-03 15:14,42,64,54
大里,臺中市,52,普通,24.099,120.678,都市,2026-03-03 15:14,16,23,37
太平,臺中市,32,良好,24.125,120.72,郊區,2026-03-03 15:14,11,14,20
豐原,臺中市,40,良好,24.253,120.717,郊區,2026-03-03 15:14,17,26,20
后里,臺中市,56,普通,24.308,120.718,郊區,2026-03-03 15:14,27,38,40
霧峰,臺中市,27,良好,24.067,120.724,郊區,2026-03-03 15:14,9,14,20
大甲,臺中市,41,良好,24.348,120.623,郊區,2026-03-03 15:14,13,17,26
烏日,臺中市,40,良好,24.108,120.617,郊區,2026-03-03 15:14,21,34,28
台南,臺南市,94,普通,22.9999,120.2269,都市,2026-03-03 15:14,34,51,58
安南,臺南市,78,普通,23.058,120.197,工業,2026-03-03 15:14,34,51,47
善化,臺南市,78,普通,23.132,120.3,郊區,2026-03-03 15:14,31,47,44
新營,臺南市,97,普通,23.31,120.316,都市,2026-03-03 15:14,41,64,51
佳里,臺南市,72,普通,23.158,120.166,郊區,2026-03-03 15:14,29,44,37
麻豆,臺南市,50,良好,23.181,120.248,郊區,2026-03-03 15:14,21,30,34
官田,臺南市,58,普通,23.194,120.325,郊區,2026-03-03 15:14,20,30,43
仁德,臺南市,139,對敏感族群不健康,22.931,120.244,工業,2026-03-03 15:14,52,78,89
歸仁,臺南市,46,良好,22.967,120.293,郊區,2026-03-03 15:14,20,28,23
關廟,臺南市,59,普通,22.979,120.311,郊區,2026-03-03 15:14,26,37,35
高雄,高雄市,83,普通,22.6273,120.3014,都市,2026-03-03 15:14,35,55,39
左營,高雄市,64,普通,22.69,121.295,都市,2026-03-03 15:14,21,29,46
楠梓,高雄市,82,普通,22.728,120.326,工業,2026-03-03 15:14,27,39,42
林園,高雄市,63,普通,22.501,120.393,工業,2026-03-03 15:14,24,35,36
大寮,高雄市,46,良好,22.553,120.433,郊區,2026-03-03 15:14,19,30,31
鳳山,高雄市,67,普通,22.627,120.357,都市,2026-03-03 15:14,29,44,45
仁武,高雄市,109,對敏感族群不健康,22.727,120.356,工業,2026-03-03 15:14,45,68,61
小港,高雄市,70,普通,22.566,120.381,工業,2026-03-03 15:14,29,44,45
岡山,高雄市,45,良好,22.796,120.296,郊區,2026-03-03 15:14,23,34,36
橋頭,高雄市,47,良好,22.757,120.306,郊區,2026-03-03 15:14,22,34,27
旗山,高雄市,45,良好,22.889,120.482,郊區,2026-03-03 15:14,22,34,22
基隆,基隆市,61,普通,25.1276,121.7392,都市,2026-03-03 15:14,27,41,38
七堵,基隆市,105,對敏感族群不健康,25.095,121.708,工業,2026-03-03 15:14,44,69,59
暖暖,基隆市,50,良好,25.1,121.736,郊區,2026-03-03 15:14,22,31,33
新竹,新竹市,64,普通,24.8138,120.9675,都市,2026-03-03 15:14,25,36,46
竹東,新竹縣,64,普通,24.734,121.086,郊區,2026-03-03 15:14,27,43,37
嘉義,嘉義市,69,普通,23.4801,120.4491,都市,2026-03-03 15:14,23,37,39
朴子,嘉義縣,56,普通,23.462,120.247,郊區,2026-03-03 15:14,20,30,35
宜蘭,宜蘭縣,45,良好,24.77,121.7326,都市,2026-03-03 15:14,23,31,32
羅東,宜蘭縣,73,普通,24.677,121.766,都市,2026-03-03 15:14,30,48,35
冬山,宜蘭縣,65,普通,24.636,121.79,郊區,2026-03-03 15:14,27,40,35
蘇澳,宜蘭縣,67,普通,24.603,121.849,工業,2026-03-03 15:14,29,40,47
竹南,新竹縣,78,普通,24.684,120.878,工業,2026-03-03 15:14,32,45,47
湖口,新竹縣,60,普通,24.904,121.054,工業,2026-03-03 15:14,27,43,38
新埔,新竹縣,40,良好,24.824,121.071,郊區,2026-03-03 15:14,15,21,20
苗栗,苗栗縣,39,良好,24.566,120.822,都市,2026-03-03 15:14,14,23,20
頭份,苗栗縣,49,良好,24.688,120.918,工業,2026-03-03 15:14,24,36,21
竹南,苗栗縣,98,普通,24.684,120.878,工業,2026-03-03 15:14,36,56,51
三義,苗栗縣,31,良好,24.332,120.747,郊區,2026-03-03 15:14,16,26,20
大湖,苗栗縣,41,良好,24.408,120.864,郊區,2026-03-03 15:14,20,33,32
彰化,彰化縣,63,普通,24.0815,120.545,都市,2026-03-03 15:14,29,45,33
員林,彰化縣,59,普通,24.054,120.572,都市,2026-03-03 15:14,20,31,35
和美,彰化縣,113,對敏感族群不健康,24.111,120.508,工業,2026-03-03 15:14,45,67,62
鹿港,彰化縣,39,良好,24.056,120.435,郊區,2026-03-03 15:14,13,17,28
溪州,彰化縣,65,普通,23.852,120.498,郊區,2026-03-03 15:14,21,29,46
二林,彰化縣,63,普通,23.9,120.366,郊區,2026-03-03 15:14,22,31,43
南投,南投縣,78,普通,23.9096,120.687,都市,2026-03-03 15:14,35,50,42
竹山,南投縣,58,普通,23.757,120.68,郊區,2026-03-03 15:14,18,27,27
埔里,南投縣,65,普通,23.965,120.964,郊區,2026-03-03 15:14,26,40,41
集集,南投縣,29,良好,23.823,120.784,郊區,2026-03-03 15:14,13,16,20
雲林,雲林縣,30,良好,23.708,120.43,郊區,2026-03-03 15:14,17,23,20
斗六,雲林縣,46,良好,23.708,120.529,都市,2026-03-03 15:14,15,22,29
虎尾,雲林縣,95,普通,23.708,120.437,工業,2026-03-03 15:14,43,64,65
北港,雲林縣,46,良好,23.564,120.295,郊區,2026-03-03 15:14,17,24,37
麥寮,雲林縣,106,對敏感族群不健康,23.753,120.252,工業,2026-03-03 15:14,39,58,66
朴子,嘉義縣,25,良好,23.462,120.247,郊區,2026-03-03 15:14,10,16,20
布袋,嘉義縣,57,普通,23.379,120.166,郊區,2026-03-03 15:14,24,33,38
民雄,嘉義縣,63,普通,23.552,120.431,郊區,2026-03-03 15:14,30,43,41
屏東,屏東縣,40,良好,22.6756,120.4884,都市,2026-03-03 15:14,16,22,26
潮州,屏東縣,37,良好,22.55,120.561,郊區,2026-03-03 15:14,18,30,20
恆春,屏東縣,41,良好,22.0,120.746,郊區,2026-03-03 15:14,20,27,34
東港,屏東縣,59,普通,22.466,120.432,郊區,2026-03-03 15:14,23,33,37
枋寮,屏東縣,28,良好,22.368,120.553,郊區,2026-03-03 15:14,14,23,20
枋山,屏東縣,40,良好,22.229,120.658,郊區,2026-03-03 15:14,12,19,30
花蓮,花蓮縣,57,普通,23.8228,121.609,都市,2026-03-03 15:14,24,37,30
吉安,花蓮縣,44,良好,23.858,121.568,郊區,2026-03-03 15:14,20,27,34
玉里,花蓮縣,64,普通,23.332,121.351,郊區,2026-03-03 15:14,27,39,28
台東,臺東縣,77,普通,22.758,121.15,都市,2026-03-03 15:14,27,41,55
台東,臺東縣,62,普通,22.758,121.15,都市,2026-03-03 15:14,28,41,41
成功,臺東縣,58,普通,23.1,121.379,郊區,2026-03-03 15:14,26,42,27
關山,臺東縣,41,良好,23.048,121.16,郊區,2026-03-03 15:14,20,29,22
澎湖,澎湖縣,26,良好,23.564,119.578,離島,2026-03-03 15:14,15,22,25
金門,金門縣,29,良好,24.432,118.322,離島,2026-03-03 15:14,13,21,23
馬祖,連江縣,32,良好,26.16,119.95,離島,2026-03-03 15:14,16,24,27
蘭嶼,臺東縣,15,良好,22.057,121.54,離島,2026-03-03 15:14,5,10,20
綠島,臺東縣,41,良好,22.678,121.492,離島,2026-03-03 15:14,13,18,20
小琉球,屏東縣,42,良好,22.339,120.368,離島,2026-03-03 15:14,11,18,24
