location,latitude,longitude,station_id,observation_time,county,town,timestamp,Weather,VisibilityDescription,SunshineDuration,Now_Precipitation,WindDirection,WindSpeed,AirTemperature,RelativeHumidity,AirPressure,UVIndex,Max10MinAverage_WindSpeed,GustInfo_PeakGustSpeed
臺大竹山,23.756972,120.681556,U2HA50,2026-02-24T16:20:00+08:00,南投縣,竹山鎮,2026-02-24 16:30:30.485821,陰,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
嘉義農試,23.485028,120.473806,G2L020,2026-02-24T16:20:00+08:00,嘉義市,東區,2026-02-24 16:30:30.485825,陰,-99,-99,0.0,330.0,3.2,24.0,73,-99,-99,3.6,7.0
義竹分場,23.360694,120.279361,72M360,2026-02-24T16:20:00+08:00,嘉義縣,義竹鄉,2026-02-24 16:30:30.485828,陰,-99,-99,0.0,350.0,3.4,25.6,64,-99,-99,4.9,6.9
畜試所,23.058972,120.336406,B2N890,2026-02-24T16:20:00+08:00,臺南市,新化區,2026-02-24 16:30:30.485832,多雲,-99,-99,0.0,320.0,2.2,25.8,69,-99,-99,2.7,5.0
鳳山農試,22.646611,120.356083,G2P820,2026-02-24T16:20:00+08:00,高雄市,鳳山區,2026-02-24 16:30:30.485835,陰,-99,-99,0.0,310.0,2.5,26.4,69,-99,-99,2.3,5.3
恆春畜試,21.945583,120.802167,B2Q810,2026-02-24T16:20:00+08:00,屏東縣,恆春鎮,2026-02-24 16:30:30.485839,晴,-99,-99,4.5,80.0,3.4,26.5,66,-99,-99,3.8,8.1
花蓮農改,23.975222,121.563889,72T250,2026-02-24T16:20:00+08:00,花蓮縣,吉安鄉,2026-02-24 16:30:30.485843,陰,-99,-99,0.0,340.0,1.1,24.7,78,-99,-99,1.9,3.2
蓮華池,23.918333,120.885278,E2H360,2026-02-24T16:20:00+08:00,南投縣,魚池鄉,2026-02-24 16:30:30.485847,陰,-99,-99,0.0,30.0,0.8,21.5,74,-99,-99,1.4,4.0
埔里分場,23.903208,120.963364,72HA00,2026-02-24T16:20:00+08:00,南投縣,魚池鄉,2026-02-24 16:30:30.485851,陰,-99,-99,0.0,-99,-99,21.5,74,-99,-99,-99,-99
臺大和社,23.590856,120.888864,U2HA30,2026-02-24T16:20:00+08:00,南投縣,信義鄉,2026-02-24 16:30:30.485854,多雲,-99,-99,0.0,30.0,0.7,22.2,83,-99,-99,0.8,4.7
臺大內茅埔,23.689722,120.851117,U2HA40,2026-02-24T16:20:00+08:00,南投縣,信義鄉,2026-02-24 16:30:30.485858,陰,-99,-99,0.0,280.0,0.7,22.2,73,-99,-99,1.6,5.6
溪口農場,23.58565,120.408111,G2M350,2026-02-24T16:20:00+08:00,嘉義縣,溪口鄉,2026-02-24 16:30:30.485862,陰,-99,-99,0.0,20.0,3.5,23.8,75,-99,-99,4.6,7.2
四湖植物園,23.676986,120.163433,E2K600,2026-02-24T16:20:00+08:00,雲林縣,四湖鄉,2026-02-24 16:30:30.485865,陰,-99,-99,0.0,30.0,0.4,23.3,97,-99,-99,1.5,5.3
農業試驗所,24.031261,120.688133,G2F820,2026-02-24T16:20:00+08:00,臺中市,霧峰區,2026-02-24 16:30:30.485869,陰,-99,-99,0.0,340.0,3.1,23.6,74,-99,-99,-99,-99
嘉義分場,23.416869,120.283061,72M700,2026-02-24T16:20:00+08:00,嘉義縣,鹿草鄉,2026-02-24 16:30:30.485872,陰,-99,-99,0.0,-99,-99,24.3,74,-99,-99,-99,-99
七股研究中心,23.081672,120.062894,72N240,2026-02-24T16:20:00+08:00,臺南市,七股區,2026-02-24 16:30:30.485876,陰,-99,-99,0.0,10.0,4.6,23.9,81,-99,-99,4.9,7.1
萬大發電廠,23.978875,121.139639,42HA10,2026-02-24T16:20:00+08:00,南投縣,仁愛鄉,2026-02-24 16:30:30.485880,陰,-99,-99,0.0,340.0,1.7,20.1,72,-99,-99,1.6,3.6
東港工作站,22.479997,120.466058,12Q970,2026-02-24T16:20:00+08:00,屏東縣,東港鎮,2026-02-24 16:30:30.485883,陰,-99,-99,0.0,210.0,3.7,26.8,68,-99,-99,3.6,6.6
口湖工作站,23.589978,120.180394,12J990,2026-02-24T16:20:00+08:00,雲林縣,口湖鄉,2026-02-24 16:30:30.485887,陰,-99,-99,0.0,30.0,3.6,23.2,79,-99,-99,2.8,6.1
恆春工作站,22.079678,120.714425,12Q980,2026-02-24T16:20:00+08:00,屏東縣,車城鄉,2026-02-24 16:30:30.485890,晴,-99,-99,0.0,80.0,5.4,26.5,64,-99,-99,5.3,9.5
大庄合作社,23.8068,120.367939,V2K610,2026-02-24T16:20:00+08:00,雲林縣,二崙鄉,2026-02-24 16:30:30.485894,陰,-99,-99,0.0,10.0,3.1,22.7,79,-99,-99,3.8,6.3
麥寮合作社,23.753836,120.294783,V2K620,2026-02-24T16:20:00+08:00,雲林縣,麥寮鄉,2026-02-24 16:30:30.485898,陰,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
太麻里(1),22.598922,120.980044,E2S980,2026-02-24T16:20:00+08:00,臺東縣,太麻里鄉,2026-02-24 16:30:30.485905,多雲,-99,-99,1.0,0.0,0.0,25.1,73,-99,-99,1.4,3.2
太麻里(2),22.598,120.99775,E2S960,2026-02-24T16:20:00+08:00,臺東縣,太麻里鄉,2026-02-24 16:30:30.485909,多雲,-99,-99,0.5,170.0,0.5,26.2,68,-99,-99,1.6,3.0
桃改臺北,24.944503,121.386972,72AI40,2026-02-24T16:20:00+08:00,新北市,樹林區,2026-02-24 16:30:30.485913,陰,-99,-99,0.0,80.0,0.3,23.8,66,-99,-99,0.9,2.1
畢祿溪站,24.226944,121.308522,E2HA20,2026-02-24T16:20:00+08:00,南投縣,仁愛鄉,2026-02-24 16:30:30.485916,陰,-99,-99,0.0,0.0,0.0,13.2,67,-99,-99,0.4,1.7
蘭花園區,23.340258,120.379661,A2N290,2026-02-24T16:20:00+08:00,臺南市,後壁區,2026-02-24 16:30:30.485920,陰,-99,-99,0.0,350.0,3.5,25.6,72,-99,-99,4.7,8.2
宜蘭畜試,24.669039,121.832561,B2U990,2026-02-24T16:20:00+08:00,宜蘭縣,五結鄉,2026-02-24 16:30:30.485923,陰,-99,-99,0.0,350.0,2.3,24.3,84,-99,-99,1.6,2.6
雲林臺大,23.730628,120.423903,A2K630,2026-02-24T16:20:00+08:00,雲林縣,虎尾鎮,2026-02-24 16:30:30.485927,陰,-99,-99,0.0,30.0,2.5,22.9,76,-99,-99,3.4,7.4
六龜林試,22.991703,120.645722,E2P980,2026-02-24T16:20:00+08:00,高雄市,六龜區,2026-02-24 16:30:30.485931,多雲,-99,-99,0.0,250.0,1.0,26.3,64,-99,-99,2.0,3.8
扇平林試,22.9677,120.685703,E2P990,2026-02-24T16:20:00+08:00,高雄市,茂林區,2026-02-24 16:30:30.485934,多雲,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
臺西水試,23.717231,120.190522,A2K360,2026-02-24T16:20:00+08:00,雲林縣,臺西鄉,2026-02-24 16:30:30.485938,陰,-99,-99,0.0,30.0,2.1,-99,-99,-99,-99,3.6,6.6
八德合作社,24.93775,121.266389,V2C250,2026-02-24T16:20:00+08:00,桃園市,八德區,2026-02-24 16:30:30.485942,陰,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
八德蔬果,24.978508,121.281819,V2C260,2026-02-24T16:20:00+08:00,桃園市,八德區,2026-02-24 16:30:30.485945,陰,-99,-99,-99,330.0,0.4,23.1,69,-99,-99,1.1,2.3
新埔工作站,24.834444,121.066111,72D680,2026-02-24T16:20:00+08:00,新竹縣,新埔鎮,2026-02-24 16:30:30.485949,陰,-99,-99,0.0,20.0,1.2,22.4,75,-99,-99,1.7,2.3
台農院關渡站,25.11575,121.492,G2AI50,2026-02-24T16:20:00+08:00,臺北市,北投區,2026-02-24 16:30:30.485952,陰,-99,-99,0.0,320.0,1.0,23.3,68,-99,-99,2.2,2.8
茶改場竹圍站,23.86008,120.6375,CAH030,2026-02-24T16:20:00+08:00,南投縣,名間鄉,2026-02-24 16:30:30.485956,陰,-99,-99,0.0,30.0,0.7,21.6,77,-99,-99,1.6,3.6
水試所海水繁養殖中心,23.120802,120.079676,CAN130,2026-02-24T16:20:00+08:00,臺南市,七股區,2026-02-24 16:30:30.485960,陰,-99,-99,0.0,10.0,4.5,23.6,84,-99,-99,5.3,7.6
布袋國中,23.35893,120.18026,CAL110,2026-02-24T16:20:00+08:00,嘉義縣,布袋鎮,2026-02-24 16:30:30.485963,陰,-99,-99,0.0,350.0,4.1,23.7,77,-99,-99,5.7,8.1
王功漁港,23.96824,120.32586,CAG100,2026-02-24T16:20:00+08:00,彰化縣,芳苑鄉,2026-02-24 16:30:30.485968,陰,-99,-99,0.0,30.0,3.5,22.0,80,-99,-99,4.6,6.3
海口故事園區,23.57543,120.14121,CAJ050,2026-02-24T16:20:00+08:00,雲林縣,口湖鄉,2026-02-24 16:30:30.485971,陰,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
六官養殖協會,23.22881,120.29962,CAN140,2026-02-24T16:20:00+08:00,臺南市,六甲區,2026-02-24 16:30:30.485975,多雲,-99,-99,0.0,320.0,3.3,25.0,68,-99,-99,4.7,7.1
崎峰國小,22.42565,120.49521,CAQ030,2026-02-24T16:20:00+08:00,屏東縣,林邊鄉,2026-02-24 16:30:30.485979,陰,-99,-99,0.0,190.0,4.8,-99,-99,-99,-99,5.0,7.2
外寮,23.562643,120.665688,C2M960,2026-02-24T16:20:00+08:00,嘉義縣,梅山鄉,2026-02-24 16:30:30.485982,陰,-99,-99,0.0,320.0,0.6,17.5,93,-99,-99,2.4,4.0
碧湖,23.568632,120.624165,C2M970,2026-02-24T16:20:00+08:00,嘉義縣,梅山鄉,2026-02-24 16:30:30.485986,陰,-99,-99,0.0,20.0,1.0,17.4,94,-99,-99,2.1,4.3
屏東,22.660269,120.494027,C2R170,2026-02-24T16:20:00+08:00,屏東縣,屏東市,2026-02-24 16:30:30.485990,陰,-99,-99,0.0,300.0,0.7,27.4,65,-99,-99,1.0,3.4
美濃,22.898792,120.51907,C2V310,2026-02-24T16:20:00+08:00,高雄市,美濃區,2026-02-24 16:30:30.485993,多雲,-99,-99,0.0,320.0,4.0,26.5,66,-99,-99,3.9,6.9
安和,23.51377,120.31593,C2M980,2026-02-24T16:20:00+08:00,嘉義縣,新港鄉,2026-02-24 16:30:30.485997,陰,-99,-99,0.0,10.0,4.5,23.9,76,-99,-99,4.9,7.5
大巃頂,23.5547,120.61439,C2M990,2026-02-24T16:20:00+08:00,嘉義縣,梅山鄉,2026-02-24 16:30:30.486001,陰,-99,-99,0.0,290.0,1.1,17.2,94,-99,-99,1.7,3.5
茅港尾,23.2061,120.2624,C2N170,2026-02-24T16:20:00+08:00,臺南市,下營區,2026-02-24 16:30:30.486004,多雲,-99,-99,0.0,320.0,2.4,24.5,75,-99,-99,3.3,5.5
竹田國中,22.61532,120.52412,C2R980,2026-02-24T16:20:00+08:00,屏東縣,竹田鄉,2026-02-24 16:30:30.486008,陰,-99,-99,0.0,300.0,3.0,28.7,59,-99,-99,3.1,5.3
泰武,22.60686,120.69765,C2R990,2026-02-24T16:20:00+08:00,屏東縣,泰武鄉,2026-02-24 16:30:30.486012,陰,-99,-99,0.0,240.0,1.3,20.8,80,-99,-99,1.3,5.3
六十石,23.22477,121.31861,C2TA60,2026-02-24T16:20:00+08:00,花蓮縣,富里鄉,2026-02-24 16:30:30.486015,陰,-99,-99,0.0,240.0,1.0,19.7,83,-99,-99,3.4,6.1
赤科坪,23.39885,121.39168,C2TA70,2026-02-24T16:20:00+08:00,花蓮縣,玉里鎮,2026-02-24 16:30:30.486037,陰,-99,-99,0.0,260.0,0.7,19.8,88,-99,-99,1.9,3.4
出水溪,24.615822,121.652253,C2UC10,2026-02-24T16:20:00+08:00,宜蘭縣,大同鄉,2026-02-24 16:30:30.486040,陰,-99,-99,0.0,70.0,0.8,20.4,80,-99,-99,1.5,2.6
長嶺,24.70894,121.61162,C2UC20,2026-02-24T16:20:00+08:00,宜蘭縣,員山鄉,2026-02-24 16:30:30.486044,陰,-99,-99,0.0,340.0,0.3,20.9,84,-99,-99,0.5,1.0
和興,24.505319,120.923016,C2E980,2026-02-24T16:20:00+08:00,苗栗縣,獅潭鄉,2026-02-24 16:30:30.486048,陰,-99,-99,0.0,350.0,0.8,18.1,93,-99,-99,3.4,5.8
新坪頂,24.30201,120.8574,C2E990,2026-02-24T16:20:00+08:00,苗栗縣,卓蘭鎮,2026-02-24 16:30:30.486051,陰,-99,-99,0.0,20.0,1.5,20.0,83,-99,-99,2.7,5.9
